fac,hospital_name,hospital_type,hospital_type_group,robots_allowed,cihi_peer_group,licensed_beds,hospital_name_self_reported,plan_period_start,plan_period_end,plan_start_year,plan_period_start_raw,plan_period_end_raw,plan_period_parse_ok,vision,mission,values,purpose,extraction_quality,extraction_notes,source_type,extraction_date,direction_number,direction_name,direction_type,direction_description,key_actions
597,ALMONTE GENERAL,Small Hospital,Community — Small,TRUE,NA,NA,Mississippi River Health Alliance,2026-01-01,2030-01-01,2026,2026,2030,TRUE,NA,NA,Care with Heart | Welcome Everyone | Commit to Our Best | Rise to the Challenge | Create Impact Together,Proudly providing your healthcare close to home.,full,NA,pdf,2026-03-27,1,PROVIDE OUR COMMUNITIES ACCESS TO QUALITY HEALTHCARE,direction,NA,Foster an integrated system of care through the continued implementation of our Clinical Services Plan | Collaborate with partners to improve access to healthcare | Support primary care reform and access in our communities
597,ALMONTE GENERAL,Small Hospital,Community — Small,TRUE,NA,NA,Mississippi River Health Alliance,2026-01-01,2030-01-01,2026,2026,2030,TRUE,NA,NA,Care with Heart | Welcome Everyone | Commit to Our Best | Rise to the Challenge | Create Impact Together,Proudly providing your healthcare close to home.,full,NA,pdf,2026-03-27,2,"FOSTER A COLLABORATIVE WORKING ENVIRONMENT WHERE PEOPLE FEEL SUPPORTED, VALUED, AND APPRECIATED",direction,NA,Embed our values in our systems and processes | Ensure long-term stability of our team through succession planning | Support staff psychological health and safety in the workplace through the development and implementation of a multi-year plan | Bolster retention strategies and opportunities for staff recognition | Strengthen cross-functional collaboration and connection across our team
597,ALMONTE GENERAL,Small Hospital,Community — Small,TRUE,NA,NA,Mississippi River Health Alliance,2026-01-01,2030-01-01,2026,2026,2030,TRUE,NA,NA,Care with Heart | Welcome Everyone | Commit to Our Best | Rise to the Challenge | Create Impact Together,Proudly providing your healthcare close to home.,full,NA,pdf,2026-03-27,3,"ENABLE OUR TEAM THROUGH IMPROVED PROCESSES, TECHNOLOGY, AND INFRASTRUCTURE",direction,NA,Update and improve our IT and Electronic Health Record (EHR) systems | Advance our redevelopment priorities | Innovate and optimize use of our current spaces | Evaluate and implement processes to increase organizational efficiency and collaboration
597,ALMONTE GENERAL,Small Hospital,Community — Small,TRUE,NA,NA,Mississippi River Health Alliance,2026-01-01,2030-01-01,2026,2026,2030,TRUE,NA,NA,Care with Heart | Welcome Everyone | Commit to Our Best | Rise to the Challenge | Create Impact Together,Proudly providing your healthcare close to home.,full,NA,pdf,2026-03-27,4,SECURE OUR FISCAL AND OPERATIONAL SUSTAINABILITY,direction,NA,"Evaluate the benefits and risks of further integration between Almonte General Hospital and Carleton Place & District Memorial Hospital | Enhance our focus on opportunities to diversify and maximize our revenue, while being fiscally appropriate | Strengthen regional collaboration and leadership to support sustainability | Implement a comprehensive recruitment strategy to continue attracting top talent | Engage our communities for future success of our organization"
599,ARNPRIOR & DISTRICT MEMORIAL,Small Hospital,Community — Small,TRUE,NA,NA,Arnprior Regional Health,2023-01-01,2026-01-01,2023,2023,2026,TRUE,Creating a thriving community together.,"As your partner in health, we deliver compassionate, innovative, quality care each day.",Honesty | Empathy | Accountability | Respect | Teamwork,NA,full,NA,pdf,2026-03-27,1,PERSON CENTRED CARE,direction,Emphasizing our existing areas of exceptional clinical care today and continually advancing our care for tomorrow.,"Foster relationships to enhance patient, resident, client and family partnerships, improving the overall experience. | Explore collaborative opportunities for quality of care and service excellence within our community. | Expand our reach by leveraging innovative care delivery models, emphasizing, accessibility, quality, and efficiency of care for our community. | Proactively respond to our community's evolving needs through designing optimal care pathways for persons through OHT partnerships and alignment of service integration."
599,ARNPRIOR & DISTRICT MEMORIAL,Small Hospital,Community — Small,TRUE,NA,NA,Arnprior Regional Health,2023-01-01,2026-01-01,2023,2023,2026,TRUE,Creating a thriving community together.,"As your partner in health, we deliver compassionate, innovative, quality care each day.",Honesty | Empathy | Accountability | Respect | Teamwork,NA,full,NA,pdf,2026-03-27,2,OUR PEOPLE,direction,"Our investment in, and the development of our people, so our healthcare team can grow and thrive, and encompassing a network of support for staff, volunteers, and services providers.","Recruit and retain skilled and passionate healthcare team members who live our values and demonstrate a commitment to the people we serve across ARH. | Build our people's capacity through targeted opportunities for professional and leadership development. | Link our people strategy to maintain a culture of mutual respect, compassion, recognition, and support our team's safety, mental health, and wellness. | Develop a culture founded in diversity, equity and inclusion that drives decision making, service delivery, leadership, and partnerships."
599,ARNPRIOR & DISTRICT MEMORIAL,Small Hospital,Community — Small,TRUE,NA,NA,Arnprior Regional Health,2023-01-01,2026-01-01,2023,2023,2026,TRUE,Creating a thriving community together.,"As your partner in health, we deliver compassionate, innovative, quality care each day.",Honesty | Empathy | Accountability | Respect | Teamwork,NA,full,NA,pdf,2026-03-27,3,OUR INFRASTRUCTURE,direction,Developing a future oriented plan and the development of our infrastructure to advance our journey as a health hub that provides the next generation care within our community.,"Continue maximizing the use of digital health technology to improve the quality of care our providers can deliver, and the seamlessness of our patient, resident, and client experience across our neighbouring healthcare organizations. | Co-design our physical infrastructure by engaging patients, resident, clients, and providers to maximize the experience we provide while efficiently addressing the future clinical, environmental and community needs. | Provide a master planning process to ensure we are meeting the current and future needs of our community with regards to capital infrastructure investment."
599,ARNPRIOR & DISTRICT MEMORIAL,Small Hospital,Community — Small,TRUE,NA,NA,Arnprior Regional Health,2023-01-01,2026-01-01,2023,2023,2026,TRUE,Creating a thriving community together.,"As your partner in health, we deliver compassionate, innovative, quality care each day.",Honesty | Empathy | Accountability | Respect | Teamwork,NA,full,NA,pdf,2026-03-27,4,OUR PARTNERS,direction,Fostering productive relationships to create an integrated health care system within our community and surrounding region.,"Strengthen linkages with the Ottawa West Four Rivers OHT, improving the overall population health with a focus on person centred care through enhanced experiences, reinvesting in care, and improving provider engagement. | Enhance two-way engagement with our community, promoting responsiveness, mutual understanding, and collaboration. | Invigorate our community participation and volunteerism, adopting differentiating approaches to attract, foster, and acknowledge community support."
599,ARNPRIOR & DISTRICT MEMORIAL,Small Hospital,Community — Small,TRUE,NA,NA,Arnprior Regional Health,2023-01-01,2026-01-01,2023,2023,2026,TRUE,Creating a thriving community together.,"As your partner in health, we deliver compassionate, innovative, quality care each day.",Honesty | Empathy | Accountability | Respect | Teamwork,NA,full,NA,pdf,2026-03-27,5,FINANCIAL STEWARDSHIP,direction,"Ensuring ARH has the requisite resources to enable continued service excellence, enhance experiences and build upon the strategic priority for the community.","Creatively engage with the broader system to ensure we have the resourcing required to deliver on our ambitious plan. | Seek innovative funding mechanisms, identifying unique areas of operational excellence, and opportunities for industry partnerships."
606,BARRIE ROYAL VICTORIA REG HC,Large Community Hospital,Community — Large,TRUE,NA,NA,Royal Victoria Regional Health Centre,2024-01-01,2034-01-01,2024,2024,2034,TRUE,NA,NA,Team up | Be kind | Do great things | Inspire trust | Be bold,"Making life better, with the care you need, close to home.",full,NA,pdf,2026-03-27,1,Drive clinical and academic excellence,direction,"We'll be a regional academic health sciences centre. As a full-scale teaching hospital and research institute, we'll offer the latest in complex, specialized care at scope and scale that meets our region's needs. Using state-of-the-art tools, we'll teach the next generation of practitioners to be clinically exceptional and compassionate. As a national leader in research at the bedside, we'll improve care now, not years in the future. The cornerstone of our work will always be collaborative partnerships, to give you the care you need – at RVH or elsewhere in our regional system of care.","Continuously improving performance indicators for quality | Increased number of collaborations with academic institutions and research partners | Increased number and effectiveness of our partnerships with care providers that support the right care, at the right place and time"
606,BARRIE ROYAL VICTORIA REG HC,Large Community Hospital,Community — Large,TRUE,NA,NA,Royal Victoria Regional Health Centre,2024-01-01,2034-01-01,2024,2024,2034,TRUE,NA,NA,Team up | Be kind | Do great things | Inspire trust | Be bold,"Making life better, with the care you need, close to home.",full,NA,pdf,2026-03-27,2,"Cultivate fulfilled, high-performing teams",direction,"The drive for excellence fuels Team RVH. We're a workforce equipped for today and primed for the challenges of tomorrow. Driven by our shared purpose, as we live our values, each member of Team RVH is powered by the impact they have on the people they care for. Top talent, regardless of specialization or career stage, will aspire to join RVH, knowing it is an important career achievement. Through a culture of continuous learning, our people will grow in their roles, supported by the best tools and resources to unlock their potential. We attract and retain an engaged and talented team that feels cared for and valued. Our diverse perspectives and unique experiences will continue to ignite innovation and foster belonging. Diversity is critical to our collective success.","Increased number of qualified candidates | Increased Team RVH engagement | Improved retention of diverse staff, physicians and volunteers"
606,BARRIE ROYAL VICTORIA REG HC,Large Community Hospital,Community — Large,TRUE,NA,NA,Royal Victoria Regional Health Centre,2024-01-01,2034-01-01,2024,2024,2034,TRUE,NA,NA,Team up | Be kind | Do great things | Inspire trust | Be bold,"Making life better, with the care you need, close to home.",full,NA,pdf,2026-03-27,3,Make exceptional patient and family experiences,direction,"Offering culturally informed care, Team RVH will continue to understand and honour diverse perspectives and needs. We will eliminate disparities and promote equity to ensure fair access to care for all. We will recognize and act on the unique needs of Indigenous Peoples. Our patients and families will feel comfortable and safe. We'll offer as many care options as makes sense for your needs, with patients and families remaining active participants in that process. They'll also be able to easily navigate the connections between RVH and our community care partners. Our patient and family experience will not only help people heal; it will ensure they feel respected, informed and empowered.",Improved patient satisfaction | Improved evidence of equitable access
606,BARRIE ROYAL VICTORIA REG HC,Large Community Hospital,Community — Large,TRUE,NA,NA,Royal Victoria Regional Health Centre,2024-01-01,2034-01-01,2024,2024,2034,TRUE,NA,NA,Team up | Be kind | Do great things | Inspire trust | Be bold,"Making life better, with the care you need, close to home.",full,NA,pdf,2026-03-27,4,Sustainable investment,enabler,"We'll wisely use our resources for lasting improvements and growth, ensuring RVH and our regional healthcare system stay strong, effective, and accessible now and in the future. Our essential investment in research and advanced medical technologies will make precise, minimally invasive care – the gold standard for complex care – possible. We'll expand and upgrade our facilities to meet state-of-the-art standards for our rapidly growing community to eliminate hallway medicine and reduce wait times. By safeguarding our reputation, we'll build community trust, attract top talent and partners, and inspire funding – all vital for sustainable, quality care. We'll make smart choices and adapt our plans as the healthcare landscape changes.",NA
606,BARRIE ROYAL VICTORIA REG HC,Large Community Hospital,Community — Large,TRUE,NA,NA,Royal Victoria Regional Health Centre,2024-01-01,2034-01-01,2024,2024,2034,TRUE,NA,NA,Team up | Be kind | Do great things | Inspire trust | Be bold,"Making life better, with the care you need, close to home.",full,NA,pdf,2026-03-27,5,Health technology,enabler,"Technology is crucial to providing care that's not just smarter, but also kinder and more efficient. We'll simplify how everyone – our team, patients, and partners – accesses information and care. We'll continually introduce and upgrade digital tools that improve how we share and use data, ensuring everyone benefits from more connected services. Team RVH will be equipped with advanced medical technologies and systems designed to deliver seamless, integrated care. By leveraging advanced analytics and securing easy access to crucial information, we'll make informed decisions a routine part of care while safeguarding personal privacy with strict security protocols.",NA
606,BARRIE ROYAL VICTORIA REG HC,Large Community Hospital,Community — Large,TRUE,NA,NA,Royal Victoria Regional Health Centre,2024-01-01,2034-01-01,2024,2024,2034,TRUE,NA,NA,Team up | Be kind | Do great things | Inspire trust | Be bold,"Making life better, with the care you need, close to home.",full,NA,pdf,2026-03-27,6,Strategic partnerships,enabler,"We'll continue to forge powerful alliances to meet our patients' diverse needs and enhance community well-being. As a partner in the Barrie and Area Ontario Health Team and with Simcoe Muskoka hospitals, we'll support regional collaboration to improve the overall health of our region. We'll partner with local organizations to fill gaps in care and help people heal at home as much as possible; we'll work to each other's strengths and share resources to reach our common goals. We aim to build a regional system of care that is responsive, resourceful, and united in its mission to nurture a healthier community.",NA
611,BLIND RIVER NORTH SHORE HN,Small Hospital,Community — Small,TRUE,NA,NA,NSHN,2024-01-01,2026-01-01,2024,2024,2026,TRUE,"One team providing equitable, high quality, integrated, rural health and wellness services for everyone.",We provide effective compassionate healthcare.,Compassion | Accountability | Respect | Equity | Sustainability,NA,partial,"Document does not specify plan period dates. Hospital name appears as 'NSHN' throughout document with reference to 'NSHN C.A.R.E.S.' values. Strategic plan is organized in three stages (Clarify, Stabilize, Improve) rather than traditional strategic directions.",pdf,2026-03-27,1,CLARIFY,direction,"Getting clear about who we are is an important part of this plan, with renewed mission and vision statements, as well as values.","Communicate this strategic plan to NSHN community, including partners, First Nations, and municipality. | Use public townhall, Chief and Council, and municipal council meetings to spread awareness of the plan. | Embed the NSHN C.A.R.E.S. values. | Invest in branded items to distribute to staff; displace values and acronym in prominent places through NSHN sites; embed values in on-boarding; tie values to annual performance appraisals; integrate into external communications and social media presence. | Ensure capacity and capability of the Board, Senior Leadership, and the broader Leadership Team to execute the Hospital/Performance Improvement Plan. | Provide Board training and regular education sessions as part of the annual work plan; invest in target skills development for Senior Leaders; support in-service learning, invest in target skills development (like financial management for non-financial managers), and support medium to long-term education planning at the manager level. | Conclude a Hospital/Performance Improvement Plan with Ontario Health. | Continue to work through the Hospital Services Accountability Agreement process with Ontario Health. | Identify and articulate NSHN's role in the Algoma Ontario Health Team. | Continue to participate at the Governance Committee and Leadership Committee to ensure a rural voice."
611,BLIND RIVER NORTH SHORE HN,Small Hospital,Community — Small,TRUE,NA,NA,NSHN,2024-01-01,2026-01-01,2024,2024,2026,TRUE,"One team providing equitable, high quality, integrated, rural health and wellness services for everyone.",We provide effective compassionate healthcare.,Compassion | Accountability | Respect | Equity | Sustainability,NA,partial,"Document does not specify plan period dates. Hospital name appears as 'NSHN' throughout document with reference to 'NSHN C.A.R.E.S.' values. Strategic plan is organized in three stages (Clarify, Stabilize, Improve) rather than traditional strategic directions.",pdf,2026-03-27,2,STABILIZE,direction,"Making sure our tank is full, so we can continue to serve our communities.","Establish a sustainable multilevel provider hospitalist program. | Work with the local physician group and staff nurse practitioners to establish a sustainable rotation given local resources. | Fully establish the Geriatric Program. | Continue recruitment for vacant positions and apply for reallocations of funding where needed for recruitable positions that fit the program and patient needs. | Continue to build flexibility into practices. | Ensure cross training and succession planning for key positions. | Identify gaps in care in our service area. | Work collaboratively with Trefry Centre and Dr. McLeod's program for western catchment. | Move to a truly participatory budget process within the Leadership Team. | In addition to the annual budget refreshers, Finance will work directly with the department manager and their senior manager to establish a realistic budget to be held accountable to through an iterative process. | Implement the Performance Improvement Plan (PIP). | Working with the Implementation Committee, Senior Leadership, and the Board, we will make the changes identified and committed to in the PIP, working towards a financially sustainable NSHN that has a balanced budget | Renew/build partnerships. | Sign the partnership agreement with Maamwesying; sign the protocol agreement with Nogdawindamin; formalize service level agreements for support of Huron Shores Family Health Team; engage with First Nations leaders and communities to be an ally in reconciliation; and engage municipal leaders to support local health advocacy."
611,BLIND RIVER NORTH SHORE HN,Small Hospital,Community — Small,TRUE,NA,NA,NSHN,2024-01-01,2026-01-01,2024,2024,2026,TRUE,"One team providing equitable, high quality, integrated, rural health and wellness services for everyone.",We provide effective compassionate healthcare.,Compassion | Accountability | Respect | Equity | Sustainability,NA,partial,"Document does not specify plan period dates. Hospital name appears as 'NSHN' throughout document with reference to 'NSHN C.A.R.E.S.' values. Strategic plan is organized in three stages (Clarify, Stabilize, Improve) rather than traditional strategic directions.",pdf,2026-03-27,3,IMPROVE,direction,"Building on our foundation of safe, quality care to do better for those we serve.","Create cultural safety throughout NSHN. | Invest in multimodal cultural safety training; commit to action on #22 of the Calls to Action of the Truth and Reconciliation Commission of Canada (and other Calls that are reasonably actionable by NSHN); develop better pathway for culturally competent community based care post-discharge; develop partnership for in-patient/LTC culturally appropriate care; identify and create a space for multi-use spiritual care; explore and if appropriate implement tri-lingual wayfinding signage; tie cultural learning to National Indigenous Peoples Day and National Truth and Reconciliation Day; work towards ""economic reconciliation"" by procuring items from Indigenous businesses; identify other diverse communities and work collaboratively on strategies to create cultural safety. | Collaborate with Maamwesying Ontario Health Team. | Establish relationship envisioned in Partnership Agreement; collaborate on shared areas of importance such as community-based care and mental health and addictions. | Be a full participant in the Algoma Ontario Health Team. | Continue to contribute to Leadership Council and Governance Committees; leverage OHT for local integration and service extensions/improvements. | Implement ONE/Meditech Expanse digital health transformation. | Allocate sufficient resources for smooth go-live; optimize post go-live environment to maximize patient benefit. | Become better environmental stewards. | Identify and eliminate single use plastics; substitute single use plastics for single use sustainable materials; reduce packaging waste; where feasible transition to reusable products; reduce energy consumption; use environmentally sustainable products. | Reach for a unified culture of one team at multiple sites. | Encourage regular leadership (especially Senior Leadership Team) presence at all three sites; common staff events (when and where safe and appropriate); align non-clinical services along service rather than by site; standardization across sites for services, products, and practice."
619,BROCKVILLE GENERAL,Large Community Hospital,Community — Large,TRUE,NA,NA,Brockville General Hospital,2023-01-01,2028-01-01,2023,2023,2028,TRUE,Achieving excellence together.,"Driven by the needs of our community, we collaborate with our patients, their families and our partners to deliver the best healthcare experience.","Together, we are accountable to deliver excellent healthcare. | Everyone deserves compassion and respect. | Professionalism matters: be proud and be actively present. | Teamwork is key to our success.",NA,partial,Document is a web page containing strategic plan content but lacks plan period dates. The strategic directions are clearly structured with descriptions and key actions.,txt,2026-03-28,1,Healthcare experience,direction,"Safe, trusted, and quality healthcare; where and when patients need it.",Enhance our patient and family centered culture. | Improve access to care. | Ensure safe and effective transitions. | Implement evidence-based practices.
619,BROCKVILLE GENERAL,Large Community Hospital,Community — Large,TRUE,NA,NA,Brockville General Hospital,2023-01-01,2028-01-01,2023,2023,2028,TRUE,Achieving excellence together.,"Driven by the needs of our community, we collaborate with our patients, their families and our partners to deliver the best healthcare experience.","Together, we are accountable to deliver excellent healthcare. | Everyone deserves compassion and respect. | Professionalism matters: be proud and be actively present. | Teamwork is key to our success.",NA,partial,Document is a web page containing strategic plan content but lacks plan period dates. The strategic directions are clearly structured with descriptions and key actions.,txt,2026-03-28,2,Partnerships,direction,Collaborate to meet the needs of our community.,Seek opportunities to better integrate care. | Foster shared leadership with our partners. | Honour our role in sustaining a healthy community.
619,BROCKVILLE GENERAL,Large Community Hospital,Community — Large,TRUE,NA,NA,Brockville General Hospital,2023-01-01,2028-01-01,2023,2023,2028,TRUE,Achieving excellence together.,"Driven by the needs of our community, we collaborate with our patients, their families and our partners to deliver the best healthcare experience.","Together, we are accountable to deliver excellent healthcare. | Everyone deserves compassion and respect. | Professionalism matters: be proud and be actively present. | Teamwork is key to our success.",NA,partial,Document is a web page containing strategic plan content but lacks plan period dates. The strategic directions are clearly structured with descriptions and key actions.,txt,2026-03-28,3,Team well-being,direction,Invest in our people to be the best at what we do.,"Ensure a safe, healthy, positive, and professional work culture. | Inspire and empower our people. | Sustain a highly qualified healthcare workforce. | Create a culture of equity, diversity, inclusion, and accessibility."
619,BROCKVILLE GENERAL,Large Community Hospital,Community — Large,TRUE,NA,NA,Brockville General Hospital,2023-01-01,2028-01-01,2023,2023,2028,TRUE,Achieving excellence together.,"Driven by the needs of our community, we collaborate with our patients, their families and our partners to deliver the best healthcare experience.","Together, we are accountable to deliver excellent healthcare. | Everyone deserves compassion and respect. | Professionalism matters: be proud and be actively present. | Teamwork is key to our success.",NA,partial,Document is a web page containing strategic plan content but lacks plan period dates. The strategic directions are clearly structured with descriptions and key actions.,txt,2026-03-28,4,Resource sustainability and growth,direction,"Delivery of safe, quality care through smart resource use.","Strengthen our current technological, physical, and equipment infrastructure. | Improve information systems to support decision-making and patient care. | Modernize and expand to meet future needs of our community. | Streamline to preserve our health human resources."
624,Campbellford Memorial Hospital,Small Hospital,Community — Small,TRUE,NA,NA,Campbellford Memorial Hospital,2025-01-01,2030-01-01,2025,2025,2030,TRUE,NA,NA,Be Our Best Every day | Act Responsibly | Better Together | Learn & Grow | Create Possibilities,We Touch Lives with Care,partial,"Document is titled '5-Year Strategic Plan' but specific start and end dates are not provided. The document has a clear purpose statement and values, but no distinct vision or mission statements are present.",pdf,2026-03-27,1,Modernizing service delivery to continuously improve outcomes,direction,"We will create an integrated, high performing and agile health services model promoting a holistic approach to wellness and healthcare. We are committed to modernizing service delivery to continuously improve outcomes. By optimizing resource allocation, we are focused on achieving greater organizational stability while streamlining our systems, processes, and policies to increase efficiency and reduce administrative burdens. This will allow our teams to focus on delivering exceptional patient care. To further enhance our internal capabilities, we will invest in systems that foster better collaboration across departments and with our regional partners, enabling a more cohesive approach to patient care.",NA
624,Campbellford Memorial Hospital,Small Hospital,Community — Small,TRUE,NA,NA,Campbellford Memorial Hospital,2025-01-01,2030-01-01,2025,2025,2030,TRUE,NA,NA,Be Our Best Every day | Act Responsibly | Better Together | Learn & Grow | Create Possibilities,We Touch Lives with Care,partial,"Document is titled '5-Year Strategic Plan' but specific start and end dates are not provided. The document has a clear purpose statement and values, but no distinct vision or mission statements are present.",pdf,2026-03-27,2,"Advancing our workplace through inclusivity, connection, wellbeing, and growth",direction,"We will foster a culture of belonging by inspiring and supporting each other to reach our full potential. Advancing our workplace through inclusivity, connection, well-being, and growth creates an environment where every team member feels valued, supported, and empowered. We will foster this culture by embedding our core values into every aspect of our systems and processes. We will enhance our recruitment and retention strategies to attract and retain top talent, ensuring that our workforce is diverse, skilled, and aligned with our purpose. We will also expand opportunities for learning, development, and training, allowing staff to grow professionally while contributing to the hospital's success.",NA
624,Campbellford Memorial Hospital,Small Hospital,Community — Small,TRUE,NA,NA,Campbellford Memorial Hospital,2025-01-01,2030-01-01,2025,2025,2030,TRUE,NA,NA,Be Our Best Every day | Act Responsibly | Better Together | Learn & Grow | Create Possibilities,We Touch Lives with Care,partial,"Document is titled '5-Year Strategic Plan' but specific start and end dates are not provided. The document has a clear purpose statement and values, but no distinct vision or mission statements are present.",pdf,2026-03-27,3,Pushing the boundaries of rural care,direction,"We will set a new standard for the delivery of rural care outside the traditional hospital setting. Pushing the Boundaries of Rural Care—is a commitment to delivering exceptional, patient and family-centred healthcare that responds to the evolving needs of our communities. By continuously improving the quality of care and expanding our services, we aim to enhance access to vital health and preventative care, especially for underserved populations. We are focused on securing the latest technology to elevate the level of care we provide, ensuring our patients benefit from innovative solutions close to home.",NA
